Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
164;28.2796;28.0957;-256.758;-256.254;-256.684;-256.888;-256.942;-255.996;10:12:02
165;28.2796;28.0957;-256.758;-256.262;-256.7;-256.888;-256.942;-256.003;10:12:03
166;28.2874;28.1036;-256.755;-256.262;-256.684;-256.888;-256.942;-256.003;10:12:03
167;28.2874;28.1036;-256.758;-256.254;-256.692;-256.888;-256.942;-255.996;10:12:04
168;28.2796;28.1036;-256.755;-256.262;-256.692;-256.895;-256.935;-256.003;10:12:04
169;28.2874;28.1114;-256.758;-256.262;-256.692;-256.895;-256.935;-256.003;10:12:05
170;28.2953;28.1192;-256.758;-256.262;-256.684;-256.895;-256.935;-255.996;10:12:05
171;28.2874;28.1114;-256.755;-256.262;-256.692;-256.888;-256.927;-255.996;10:12:06
172;28.2953;28.1192;-256.755;-256.254;-256.692;-256.888;-256.95;-255.996;10:12:06
173;28.3031;28.1192;-256.755;-256.262;-256.692;-256.888;-256.942;-255.996;10:12:07
174;28.3031;28.127;-256.758;-256.262;-256.692;-256.895;-256.935;-255.996;10:12:07
175;28.2953;28.127;-256.758;-256.254;-256.692;-256.895;-256.935;-255.996;10:12:08
176;28.3109;28.127;-256.755;-256.262;-256.692;-256.888;-256.935;-255.988;10:12:08
177;28.3031;28.127;-256.758;-256.254;-256.692;-256.888;-256.942;-255.996;10:12:09
178;28.3109;28.127;-256.758;-256.262;-256.684;-256.888;-256.942;-255.996;10:12:09
179;28.3031;28.127;-256.755;-256.254;-256.684;-256.888;-256.927;-255.996;10:12:10
180;28.3031;28.1192;-256.758;-256.262;-256.692;-256.888;-256.942;-256.003;10:12:10
181;28.3031;28.1192;-256.755;-256.254;-256.692;-256.888;-256.942;-256.003;10:12:11
182;28.3031;28.127;-256.758;-256.254;-256.692;-256.895;-256.927;-256.011;10:12:11
183;28.3109;28.1192;-256.755;-256.262;-256.692;-256.895;-256.935;-256.003;10:12:12
184;28.3109;28.1349;-256.751;-256.254;-256.692;-256.888;-256.935;-256.003;10:12:12
185;28.3109;28.127;-256.758;-256.254;-256.692;-256.888;-256.935;-256.011;10:12:13
186;28.3109;28.127;-256.755;-256.254;-256.684;-256.903;-256.927;-256.003;10:12:13
187;28.3109;28.127;-256.755;-256.262;-256.692;-256.888;-256.935;-256.003;10:12:14
188;28.3187;28.1349;-256.758;-256.269;-256.684;-256.888;-256.935;-256.003;10:12:14
189;28.3109;28.127;-256.755;-256.262;-256.692;-256.888;-256.95;-256.003;10:12:15
190;28.3187;28.1349;-256.755;-256.262;-256.692;-256.895;-256.935;-255.996;10:12:15
191;28.3266;28.1349;-256.758;-256.262;-256.684;-256.888;-256.942;-256.003;10:12:16
192;28.3266;28.1349;-256.758;-256.262;-256.7;-256.895;-256.95;-256.003;10:12:16
193;28.3266;28.1427;-256.755;-256.254;-256.684;-256.888;-256.95;-255.996;10:12:17
194;28.3266;28.1427;-256.755;-256.262;-256.692;-256.888;-256.942;-256.003;10:12:17
195;28.3266;28.1505;-256.755;-256.269;-256.692;-256.895;-256.935;-255.996;10:12:18
196;28.3266;28.1505;-256.755;-256.262;-256.684;-256.888;-256.95;-256.003;10:12:18
197;28.3344;28.1505;-256.755;-256.269;-256.692;-256.888;-256.942;-255.988;10:12:19
198;28.3422;28.1583;-256.755;-256.262;-256.692;-256.895;-256.935;-256.003;10:12:19
199;28.3344;28.1505;-256.755;-256.269;-256.684;-256.895;-256.935;-255.996;10:12:20
200;28.3422;28.1583;-256.758;-256.262;-256.684;-256.895;-256.942;-256.003;10:12:20
201;28.3422;28.1583;-256.758;-256.262;-256.684;-256.895;-256.935;-255.996;10:12:21
202;28.3422;28.1583;-256.751;-256.269;-256.692;-256.888;-256.935;-255.996;10:12:21
203;28.3422;28.1583;-256.751;-256.262;-256.692;-256.895;-256.935;-256.003;10:12:22
204;28.3422;28.1583;-256.755;-256.262;-256.692;-256.888;-256.935;-255.996;10:12:22
205;28.3422;28.1662;-256.755;-256.262;-256.692;-256.888;-256.942;-255.996;10:12:23
206;28.35;28.1583;-256.751;-256.262;-256.692;-256.895;-256.935;-255.996;10:12:23
207;28.35;28.1662;-256.758;-256.269;-256.684;-256.888;-256.935;-255.996;10:12:24
208;28.35;28.1662;-256.751;-256.262;-256.7;-256.895;-256.935;-255.996;10:12:24
209;28.35;28.1662;-256.751;-256.262;-256.692;-256.888;-256.942;-255.996;10:12:25
210;28.35;28.1662;-256.755;-256.269;-256.692;-256.895;-256.935;-255.988;10:12:25
211;28.3579;28.1662;-256.755;-256.262;-256.692;-256.895;-256.935;-255.996;10:12:26
212;28.35;28.174;-256.755;-256.262;-256.692;-256.888;-256.942;-255.996;10:12:26
213;28.3579;28.174;-256.758;-256.262;-256.692;-256.88;-256.935;-255.988;10:12:27
214;28.3579;28.174;-256.755;-256.25;-256.684;-256.888;-256.942;-255.996;10:12:27
215;28.3657;28.1818;-256.758;-256.254;-256.692;-256.888;-256.935;-255.996;10:12:28
216;28.3657;28.174;-256.755;-256.262;-256.692;-256.888;-256.942;-255.996;10:12:28
217;28.3657;28.1818;-256.751;-256.254;-256.692;-256.888;-256.942;-255.996;10:12:29
218;28.3579;28.174;-256.755;-256.262;-256.692;-256.888;-256.942;-255.996;10:12:29
219;28.3657;28.174;-256.755;-256.262;-256.684;-256.888;-256.935;-255.996;10:12:30
220;28.3579;28.174;-256.751;-256.262;-256.7;-256.888;-256.942;-255.996;10:12:30
221;28.3657;28.1896;-256.751;-256.262;-256.692;-256.888;-256.942;-255.996;10:12:31
222;28.3657;28.1818;-256.755;-256.262;-256.692;-256.888;-256.942;-255.996;10:12:31
223;28.3735;28.1818;-256.755;-256.262;-256.692;-256.888;-256.942;-256.003;10:12:32
224;28.3813;28.1818;-256.755;-256.262;-256.692;-256.888;-256.935;-255.996;10:12:32
225;28.3735;28.1818;-256.755;-256.254;-256.684;-256.895;-256.942;-255.996;10:12:33
226;28.3813;28.1975;-256.758;-256.262;-256.7;-256.888;-256.927;-255.996;10:12:33
227;28.3813;28.1975;-256.751;-256.262;-256.692;-256.888;-256.935;-255.996;10:12:34
228;28.3813;28.1896;-256.755;-256.262;-256.692;-256.888;-256.935;-255.996;10:12:34
229;28.3813;28.2053;-256.755;-256.262;-256.7;-256.88;-256.942;-255.996;10:12:35
230;28.3853;28.1975;-256.755;-256.262;-256.692;-256.888;-256.935;-255.996;10:12:35
231;28.3853;28.2053;-256.751;-256.254;-256.692;-256.888;-256.935;-255.988;10:12:36
232;28.3853;28.2053;-256.758;-256.262;-256.7;-256.88;-256.935;-255.988;10:12:36
233;28.3853;28.2053;-256.755;-256.262;-256.7;-256.88;-256.942;-255.996;10:12:37
234;28.3853;28.2053;-256.755;-256.269;-256.692;-256.888;-256.95;-255.988;10:12:37
235;28.3853;28.2053;-256.751;-256.262;-256.692;-256.88;-256.942;-255.996;10:12:38
236;28.3853;28.2053;-256.755;-256.254;-256.692;-256.888;-256.942;-255.996;10:12:38
237;28.3892;28.2053;-256.747;-256.262;-256.692;-256.872;-256.95;-255.988;10:12:39
238;28.3892;28.2053;-256.751;-256.262;-256.692;-256.88;-256.942;-255.996;10:12:39
239;28.3892;28.2053;-256.747;-256.254;-256.692;-256.888;-256.942;-255.996;10:12:40
240;28.3892;28.2053;-256.747;-256.254;-256.684;-256.895;-256.942;-255.996;10:12:40
241;28.397;28.1975;-256.747;-256.262;-256.692;-256.888;-256.95;-256.003;10:12:41
242;28.3931;28.2131;-256.747;-256.254;-256.684;-256.895;-256.935;-255.996;10:12:41
243;28.3931;28.2131;-256.751;-256.262;-256.692;-256.895;-256.935;-255.996;10:12:42
244;28.3931;28.2053;-256.751;-256.269;-256.692;-256.895;-256.942;-256.003;10:12:42
