Number;DT1;DT2;P_now;T_imp;K_prop;T_stab;Time
326;29.9307;29.7155;37.599;24;37.35;30;12:25:43
327;29.9307;29.7077;37.599;27;37.35;30;12:25:43
328;29.9464;29.7155;37.599;27;37.35;30;12:25:44
329;29.9307;29.7155;37.599;21;37.35;30;12:25:44
330;29.9307;29.7155;37.599;27;37.35;30;12:25:45
331;29.9307;29.7155;37.599;27;37.35;30;12:25:45
332;29.9385;29.7077;37.599;27;37.35;30;12:25:46
333;29.9307;29.7077;37.599;24;37.35;30;12:25:46
334;29.9307;29.7077;37.599;27;37.35;30;12:25:47
335;29.9307;29.6999;37.599;27;37.35;30;12:25:47
336;29.9464;29.7077;37.599;27;37.35;30;12:25:48
337;29.9307;29.7077;37.599;21;37.35;30;12:25:48
338;29.9385;29.7077;37.599;27;37.35;30;12:25:49
339;29.9307;29.7155;37.599;24;37.35;30;12:25:49
340;29.9385;29.7077;37.599;27;37.35;30;12:25:50
341;29.9307;29.7155;37.599;24;37.35;30;12:25:50
342;29.9385;29.7077;37.599;27;37.35;30;12:25:51
343;29.9385;29.7155;37.599;24;37.35;30;12:25:51
344;29.9307;29.7155;37.599;24;37.35;30;12:25:52
345;29.9385;29.7155;37.599;27;37.35;30;12:25:52
346;29.9385;29.7233;37.599;24;37.35;30;12:25:53
347;29.9385;29.7155;37.599;24;37.35;30;12:25:53
348;29.9385;29.7155;37.599;24;37.35;30;12:25:54
349;29.9307;29.7155;37.599;24;37.35;30;12:25:54
350;29.9385;29.7233;37.599;27;37.35;30;12:25:55
351;29.9307;29.7155;37.599;24;37.35;30;12:25:55
352;29.9307;29.7155;37.599;27;37.35;30;12:25:56
353;29.9307;29.7155;37.599;27;37.35;30;12:25:56
354;29.9385;29.7155;37.599;27;37.35;30;12:25:57
355;29.9307;29.7155;37.599;24;37.35;30;12:25:57
356;29.9385;29.7233;37.599;27;37.35;30;12:25:58
357;29.9307;29.7233;37.599;24;37.35;30;12:25:58
358;29.9385;29.7155;37.599;27;37.35;30;12:25:59
359;29.9385;29.7233;37.599;24;37.35;30;12:25:59
360;29.9307;29.7155;37.599;24;37.35;30;12:26:00
361;29.9464;29.7077;37.599;27;37.35;30;12:26:00
362;29.9385;29.7155;37.599;21;37.35;30;12:26:01
363;29.9385;29.7155;37.599;24;37.35;30;12:26:01
364;29.9307;29.7233;37.599;24;37.35;30;12:26:02
365;29.9385;29.7077;37.599;24;37.35;30;12:26:02
366;29.9385;29.7155;37.599;24;37.35;30;12:26:03
367;29.9385;29.7155;37.599;24;37.35;30;12:26:03
368;29.9307;29.7233;37.599;24;37.35;30;12:26:04
369;29.9385;29.7077;37.599;24;37.35;30;12:26:04
370;29.9307;29.7077;37.599;24;37.35;30;12:26:05
371;29.9307;29.7155;37.599;27;37.35;30;12:26:05
372;29.9307;29.7077;37.599;27;37.35;30;12:26:06
373;29.9385;29.7077;37.599;27;37.35;30;12:26:06
374;29.9307;29.7077;37.599;24;37.35;30;12:26:07
375;29.9307;29.7077;37.599;27;37.35;30;12:26:07
376;29.9385;29.7155;37.599;27;37.35;30;12:26:08
377;29.9307;29.7077;37.599;24;37.35;30;12:26:08
378;29.9385;29.7077;37.599;27;37.35;30;12:26:09
379;29.9307;29.7077;37.599;24;37.35;30;12:26:09
380;29.9307;29.7077;37.599;27;37.35;30;12:26:10
381;29.9307;29.7155;37.599;27;37.35;30;12:26:10
382;29.9385;29.6999;37.599;27;37.35;30;12:26:11
383;29.9229;29.7077;37.599;24;37.35;30;12:26:11
384;29.9229;29.7077;37.599;30;37.35;30;12:26:12
385;29.9229;29.7077;37.599;30;37.35;30;12:26:12
386;29.9307;29.7077;37.599;30;37.35;30;12:26:13
387;29.9307;29.7077;37.599;27;37.35;30;12:26:13
388;29.9307;29.7077;37.599;27;37.35;30;12:26:14
389;29.9307;29.7077;37.599;27;37.35;30;12:26:14
390;29.9307;29.6999;37.599;27;37.35;30;12:26:15
391;29.9307;29.6999;37.599;27;37.35;30;12:26:15
392;29.9307;29.692;37.599;27;37.35;30;12:26:16
393;29.9307;29.692;37.599;27;37.35;30;12:26:16
394;29.9307;29.692;37.599;27;37.35;30;12:26:17
395;29.9307;29.692;37.599;27;37.35;30;12:26:17
396;29.9307;29.6999;37.599;27;37.35;30;12:26:18
397;29.9385;29.6999;37.599;27;37.35;30;12:26:18
398;29.9307;29.6999;37.599;24;37.35;30;12:26:19
399;29.9307;29.6999;37.599;27;37.35;30;12:26:19
400;29.9307;29.7077;37.599;27;37.35;30;12:26:20
401;29.9385;29.7077;37.599;27;37.35;30;12:26:20
402;29.9385;29.7077;37.599;24;37.35;30;12:26:21
403;29.9307;29.7077;37.599;24;37.35;30;12:26:21
404;29.9307;29.7077;37.599;27;37.35;30;12:26:22
405;29.9385;29.7077;37.599;27;37.35;30;12:26:22
406;29.9307;29.7077;37.599;24;37.35;30;12:26:23
407;29.9307;29.7077;37.599;27;37.35;30;12:26:23
408;29.9385;29.7155;37.599;27;37.35;30;12:26:24
409;29.9307;29.7077;37.599;24;37.35;30;12:26:24
410;29.9307;29.7077;37.599;27;37.35;30;12:26:25
411;29.9385;29.7077;37.599;27;37.35;30;12:26:25
412;29.9307;29.7077;37.599;24;37.35;30;12:26:26
413;29.9307;29.7077;37.599;27;37.35;30;12:26:26
414;29.9385;29.7155;37.599;27;37.35;30;12:26:27
415;29.9307;29.7077;37.599;24;37.35;30;12:26:27
416;29.9307;29.7077;37.599;27;37.35;30;12:26:28
417;29.9385;29.7155;37.599;27;37.35;30;12:26:28
418;29.9307;29.7155;37.599;24;37.35;30;12:26:29
419;29.9307;29.7077;37.599;27;37.35;30;12:26:29
420;29.9229;29.7077;37.599;27;37.35;30;12:26:30
421;29.9307;29.7077;37.599;30;37.35;30;12:26:30
422;29.9307;29.7077;37.599;27;37.35;30;12:26:31
423;29.9307;29.7077;37.599;27;37.35;30;12:26:31
424;29.9229;29.6999;37.599;27;37.35;30;12:26:32
425;29.9307;29.7077;37.599;30;37.35;30;12:26:32
426;29.9307;29.7077;37.599;27;37.35;30;12:26:33
427;29.9307;29.7077;37.599;27;37.35;30;12:26:33
428;29.9307;29.7077;37.599;27;37.35;30;12:26:34
429;29.9229;29.6999;37.599;27;37.35;30;12:26:34
430;29.9307;29.7155;37.599;30;37.35;30;12:26:35
431;29.9307;29.7077;37.599;27;37.35;30;12:26:35
432;29.9307;29.7077;37.599;27;37.35;30;12:26:36
433;29.9307;29.7155;37.599;27;37.35;30;12:26:36
434;29.9385;29.7077;37.599;27;37.35;30;12:26:37
435;29.9464;29.7155;37.599;24;37.35;30;12:26:37
436;29.9307;29.7077;37.599;21;37.35;30;12:26:38
437;29.9385;29.7077;37.599;27;37.35;30;12:26:38
438;29.9385;29.7155;37.599;24;37.35;30;12:26:39
439;29.9307;29.7155;37.599;24;37.35;30;12:26:39
440;29.9464;29.7077;37.599;27;37.35;30;12:26:40
441;29.9464;29.7155;37.599;21;37.35;30;12:26:40
442;29.9385;29.7077;37.599;21;37.35;30;12:26:41
443;29.9464;29.7077;37.599;24;37.35;30;12:26:41
444;29.9464;29.6999;37.599;21;37.35;30;12:26:42
445;29.9385;29.7077;37.599;21;37.35;30;12:26:42
446;29.9307;29.7077;37.599;24;37.35;30;12:26:43
447;29.9385;29.7077;37.599;27;37.35;30;12:26:43
448;29.9307;29.7077;37.599;24;37.35;30;12:26:44
449;29.9385;29.7077;37.599;27;37.35;30;12:26:44
450;29.9307;29.6999;37.599;24;37.35;30;12:26:45
451;29.9385;29.7077;37.599;27;37.35;30;12:26:45
452;29.9385;29.7155;37.599;24;37.35;30;12:26:46
453;29.9307;29.6999;37.599;24;37.35;30;12:26:46
454;29.9385;29.7155;37.599;27;37.35;30;12:26:47
455;29.9307;29.7155;37.599;24;37.35;30;12:26:47
456;29.9385;29.7155;37.599;27;37.35;30;12:26:48
457;29.9307;29.7155;37.599;24;37.35;30;12:26:48
458;29.9385;29.7077;37.599;27;37.35;30;12:26:49
459;29.9385;29.7155;37.599;24;37.35;30;12:26:49
460;29.9385;29.6999;37.599;24;37.35;30;12:26:50
461;29.9385;29.7155;37.599;24;37.35;30;12:26:50
462;29.9307;29.7077;37.599;24;37.35;30;12:26:51
463;29.9385;29.7077;37.599;27;37.35;30;12:26:51
464;29.9307;29.7155;37.599;24;37.35;30;12:26:52
465;29.9307;29.7155;37.599;27;37.35;30;12:26:52
466;29.9307;29.7077;37.599;27;37.35;30;12:26:53
467;29.9385;29.7155;37.599;27;37.35;30;12:26:53
468;29.9307;29.7077;37.599;24;37.35;30;12:26:54
469;29.9307;29.7077;37.599;27;37.35;30;12:26:54
470;29.9385;29.7077;37.599;27;37.35;30;12:26:55
471;29.9385;29.7077;37.599;24;37.35;30;12:26:55
472;29.9229;29.7155;37.599;24;37.35;30;12:26:56
473;29.9307;29.7155;37.599;30;37.35;30;12:26:56
474;29.9307;29.7155;37.599;27;37.35;30;12:26:57
475;29.9229;29.7077;37.599;27;37.35;30;12:26:57
476;29.9229;29.7077;37.599;27;37.35;30;12:26:58
477;29.9307;29.7155;37.599;30;37.35;30;12:26:58
478;29.9229;29.7077;37.599;27;37.35;30;12:26:59
479;29.9307;29.7233;37.599;30;37.35;30;12:26:59
480;29.9229;29.7077;37.599;27;37.35;30;12:27:00
481;29.9307;29.7155;37.599;30;37.35;30;12:27:00
482;29.9307;29.7077;37.599;27;37.35;30;12:27:01
